SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,tree_number,leaf_number,wb_temp,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,,,,,,,,,,umol+1m-2s-1,,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,19:46:01,2024-06-05,fvfm_wb,rebecca,,001,004,025,0.007023,2.915856,0.007006,0.068404,1.524574,1.523278,2.486062,0.961488,15.159337,15.172230,24.740755,0.298530,1.800000,PSF-01225_20240605194601_fce,128.804688,631.799316,0.796130,0.000000,0.000000,0.000000,0.5,0.80,0.288319,1.000000,58.57,58.53,21.68,20.94,20.94,100.48,156.0,136.1,12.7,1,4.108,19:41:45,2024-06-05,0.28,1,0.000,-0.000,0.002,0.007,-0.113,-0.163,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.450412,2.436066,1.660257,0.894150,0.311413,-0.007257,0.282118,0.107892,128.804688,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605194601_fce,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T17:37:17.281Z
2,19:49:55,2024-06-05,fvfm_wb,rebecca,,001,003,025,1.304212,2.914858,0.901050,5.575253,1.662283,1.556748,2.271890,0.609607,15.491689,16.541904,22.608292,0.298530,1.800000,PSF-01225_20240605194955_d6e,125.726227,604.972229,0.792179,0.000000,0.000000,0.000000,0.5,0.80,0.325382,1.000000,61.61,57.70,22.27,19.48,19.48,100.49,155.9,152.7,2.1,1,4.105,19:41:45,2024-06-05,0.28,1,0.003,0.001,0.013,-0.156,0.067,0.191,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.449322,2.439670,1.659217,0.935995,0.304134,-0.030360,0.303980,0.107978,125.726227,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605194955_d6e,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T17:37:17.281Z
3,19:51:01,2024-06-05,fvfm_wb,rebecca,,001,001,025,0.120916,2.912472,0.116096,1.149307,1.602862,1.581052,2.576969,0.974107,15.733665,15.950697,25.644413,0.298530,1.800000,PSF-01225_20240605195101_0a7,123.832230,587.610474,0.789261,0.000000,0.000000,0.000000,0.5,0.80,0.367011,1.000000,58.89,58.09,22.42,21.52,21.52,100.49,155.6,138.8,10.8,1,4.103,19:41:45,2024-06-05,0.28,1,0.002,0.000,-0.011,0.122,-0.008,-0.030,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.449776,2.436337,1.656737,0.900856,0.302392,-0.009037,0.309956,0.108073,123.832230,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605195101_0a7,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T17:37:17.281Z
4,19:51:48,2024-06-05,fvfm_wb,rebecca,,001,002,025,0.223213,2.915451,0.207339,2.011865,1.618017,1.579934,2.572770,0.954753,15.722220,16.101191,25.602123,0.298530,1.800000,PSF-01225_20240605195148_9d2,121.413948,577.876953,0.789897,0.000000,0.000000,0.000000,0.5,0.80,0.399452,1.000000,59.08,57.69,22.52,21.49,21.49,100.49,155.9,154.7,0.8,1,4.102,19:41:45,2024-06-05,0.28,1,0.000,0.000,-0.002,0.109,0.188,0.054,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.449279,2.436556,1.659835,0.941296,0.301168,-0.010506,0.314019,0.108145,121.413948,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605195148_9d2,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T17:37:17.281Z
5,19:52:43,2024-06-05,fvfm_wb,rebecca,,002,001,025,0.037492,2.914668,0.037016,0.403269,1.579926,1.572285,2.651660,1.071734,15.646296,15.722334,26.387495,0.298530,1.800000,PSF-01225_20240605195243_84e,121.740463,577.837952,0.789317,0.000000,0.000000,0.000000,0.5,0.80,0.398839,1.000000,57.20,56.93,22.66,21.99,21.99,100.49,155.8,147.8,5.1,1,4.100,19:52:26,2024-06-05,0.16,1,-0.002,-0.000,0.002,-0.105,0.116,0.293,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.448330,2.434382,1.659019,0.923591,0.299485,-0.006487,0.318796,0.108145,121.740463,0.000209,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605195243_84e,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T17:37:17.281Z
6,19:53:29,2024-06-05,fvfm_wb,rebecca,,002,002,025,0.066102,2.915278,0.064636,0.713800,1.586103,1.572586,2.672281,1.086178,15.649878,15.784396,26.593699,0.298530,1.800000,PSF-01225_20240605195329_b88,132.292267,644.870972,0.794855,0.000000,0.000000,0.000000,0.5,0.80,0.384418,1.000000,57.04,56.55,22.77,22.12,22.12,100.49,155.9,144.2,7.5,1,4.099,19:52:26,2024-06-05,0.16,1,-0.001,-0.001,-0.004,0.328,0.213,0.426,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.447859,2.434164,1.659654,0.914420,0.298149,-0.006325,0.322709,0.108106,132.292267,0.000213,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605195329_b88,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T17:37:17.281Z
7,19:54:53,2024-06-05,fvfm_wb,rebecca,,002,003,025,0.192065,2.916554,0.180198,1.978517,1.590563,1.553136,2.670431,1.079868,15.456824,15.829293,26.576153,0.298530,1.800000,PSF-01225_20240605195453_557,142.856949,644.774780,0.778439,0.000000,0.000000,0.000000,0.5,0.80,0.856875,1.000000,56.62,55.29,22.94,22.10,22.10,100.48,156.1,148.7,4.7,3,4.097,19:52:26,2024-06-05,0.16,1,-0.001,-0.001,0.007,-0.176,0.039,0.155,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.446298,2.433629,1.660987,0.925752,0.296167,-0.008382,0.329925,0.109196,142.856949,0.000212,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605195453_557,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T17:37:17.281Z
8,19:55:44,2024-06-05,fvfm_wb,rebecca,,002,004,025,0.075194,2.913429,0.073302,0.844279,1.562632,1.546617,2.695493,1.132860,15.391291,15.550668,26.824425,0.298530,1.800000,PSF-01225_20240605195544_fa8,147.929199,637.955566,0.768120,0.000000,0.000000,0.000000,0.5,0.80,0.572576,1.000000,55.31,54.74,23.03,22.26,22.26,100.49,155.7,152.8,1.9,2,4.095,19:52:26,2024-06-05,0.16,1,0.001,-0.001,-0.003,-0.416,-0.380,-1.263,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.445615,2.431999,1.657730,0.936263,0.295041,-0.007728,0.334176,0.108569,147.929199,0.000214,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605195544_fa8,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T17:37:17.281Z
9,19:56:40,2024-06-05,fvfm_wb,rebecca,,003,001,025,0.033867,2.917291,0.033478,0.398519,1.566694,1.559157,2.737309,1.170615,15.515238,15.590237,27.239079,0.298530,1.800000,PSF-01225_20240605195640_1ba,121.257660,604.112854,0.799280,0.000000,0.000000,0.000000,0.5,0.80,0.341569,1.000000,55.11,54.84,23.14,22.51,22.51,100.49,156.2,138.6,11.2,1,4.094,19:52:26,2024-06-05,0.16,1,-0.000,0.000,0.000,-0.289,-0.043,0.027,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.445722,2.431735,1.661758,0.900436,0.293825,-0.006021,0.338894,0.108007,121.257660,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605195640_1ba,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T17:37:17.281Z
10,19:59:52,2024-06-05,fvfm_wb,rebecca,,003,002,025,0.028531,2.913130,0.028254,0.358338,1.538957,1.532156,2.786103,1.247146,15.245669,15.313346,27.723036,0.298530,1.800000,PSF-01225_20240605195952_c8e,136.386032,587.263916,0.767760,0.000000,0.000000,0.000000,0.5,0.80,0.291569,1.000000,53.16,52.92,23.44,22.80,22.80,100.50,155.6,145.4,6.6,1,4.089,19:52:26,2024-06-05,0.16,1,-0.000,0.000,-0.002,-0.182,-0.354,-0.024,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.443324,2.429277,1.657420,0.917421,0.290306,-0.006171,0.354738,0.107923,136.386032,0.000212,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605195952_c8e,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T17:37:17.281Z
11,20:00:32,2024-06-05,fvfm_wb,rebecca,,003,003,025,0.010375,2.914820,0.010338,0.133508,1.535496,1.532966,2.805222,1.269725,15.254986,15.280168,27.915569,0.298530,1.800000,PSF-01225_20240605200032_de9,125.582458,601.948120,0.791373,0.000000,0.000000,0.000000,0.5,0.80,0.277463,1.000000,52.85,52.77,23.49,22.91,22.91,100.49,155.9,132.5,15.0,1,4.088,19:52:26,2024-06-05,0.16,1,-0.002,-0.000,-0.003,0.075,0.232,-0.050,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.443122,2.428890,1.659177,0.885261,0.289635,-0.005545,0.357828,0.107871,125.582458,0.000212,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605200032_de9,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T17:37:17.281Z
12,20:01:15,2024-06-05,fvfm_wb,rebecca,,003,004,025,0.084845,2.915293,0.082446,1.010254,1.571413,1.552276,2.776279,1.204866,15.445301,15.635714,27.624250,0.298530,1.800000,PSF-01225_20240605200115_e7b,118.376968,578.950500,0.795532,0.000000,0.000000,0.000000,0.5,0.80,0.271834,1.000000,53.90,53.25,23.55,22.74,22.74,100.50,155.9,141.0,9.6,1,4.087,19:52:26,2024-06-05,0.16,1,-0.002,0.001,-0.001,-0.201,-0.074,0.090,1,150,0.001,2.000000,0.165850,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,1,rectangular,6000,5,1.000000,2.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.443703,2.430179,1.659670,0.906345,0.288970,-0.008183,0.361316,0.107856,118.376968,0.000211,2.365176,-0.000008,1.000000,2.351669,-0.000027,1.000000,0.600858,0.600606,0.107252,0.000000,PSF-01225_20240605200115_e7b,PFA-01090,PSA-01092,PSF-01225,RHS-02024,3.0.0,2024-06-05T17:37:17.281Z